id_municipio,uf,municipio,longitude,latitude
1553,MG,Cordislândia,-45.699879,-21.789099
1554,MG,Corinto,-44.454181,-18.368967
1555,MG,Coroaci,-42.279099,-18.61557
1556,MG,Coromandel,-47.193348,-18.473364
1557,MG,Coronel Fabriciano,-42.627585,-19.517879
1558,MG,Coronel Murta,-42.183952,-16.614847
1559,MG,Coronel Pacheco,-43.255989,-21.589751
1560,MG,Coronel Xavier Chaves,-44.2206,-21.027724
1565,MG,Couto de Magalhães de Minas,-43.464821,-18.07272
1567,MG,Cristais,-45.516727,-20.87328
1569,MG,Cristiano Otoni,-43.816552,-20.832421
1570,MG,Cristina,-45.267266,-22.207982
1568,MG,Cristália,-42.85712,-16.716014
1566,MG,Crisólita,-40.918392,-17.238124
1571,MG,Crucilândia,-44.333425,-20.392314
1572,MG,Cruzeiro da Fortaleza,-46.666891,-18.944029
1573,MG,Cruzília,-44.806678,-21.839985
1574,MG,Cuparaque,-41.098621,-18.964827
1575,MG,Curral de Dentro,-41.855684,-15.932709
1576,MG,Curvelo,-44.430259,-18.752731
1508,MG,Cássia,-46.920122,-20.583061
1561,MG,Córrego Danta,-45.903228,-19.819775
1563,MG,Córrego Fundo,-45.561742,-20.447422
1564,MG,Córrego Novo,-42.398816,-19.836096
1562,MG,Córrego do Bom Jesus,-46.024113,-22.626882
1540,MG,Cônego Marinho,-44.418059,-15.289172
1577,MG,Datas,-43.659085,-18.447761
1578,MG,Delfim Moreira,-45.279231,-22.503632
1579,MG,Delfinópolis,-46.845554,-20.34677
1580,MG,Delta,-47.78408,-19.972143
1581,MG,Descoberto,-42.961766,-21.45999
1582,MG,Desterro de Entre Rios,-44.333388,-20.66504
1583,MG,Desterro do Melo,-43.517834,-21.142995
1584,MG,Diamantina,-43.603099,-18.241315
1585,MG,Diogo de Vasconcelos,-43.195253,-20.487903
1586,MG,Dionísio,-42.770087,-19.843252
1588,MG,Divino,-42.143801,-20.613405
1589,MG,Divino das Laranjeiras,-41.478081,-18.775491
1590,MG,Divinolândia de Minas,-42.610345,-18.80038
1587,MG,Divinésia,-43.000263,-20.991709
1591,MG,Divinópolis,-44.891223,-20.144646
1592,MG,Divisa Alegre,-41.346291,-15.722071
1593,MG,Divisa Nova,-46.190385,-21.50916
1594,MG,Divisópolis,-40.99969,-15.72535
1595,MG,Dom Bosco,-46.259725,-16.651957
1596,MG,Dom Cavati,-42.112132,-19.373457
1597,MG,Dom Joaquim,-43.254382,-18.961036
1598,MG,Dom Silvério,-42.962673,-20.162726
1599,MG,Dom Viçoso,-45.164317,-22.25111
1600,MG,Dona Eusébia,-42.807048,-21.31900
1601,MG,Dores de Campos,-44.02068,-21.113944
